"E:0","E:1","E:2","arc_length","Points:0","Points:1","Points:2"
nan,nan,nan,0,-0.00053309,-0.20667,0
nan,nan,nan,8.7309e-05,-0.00044578,-0.20667,0
nan,nan,nan,0.00017462,-0.00035847,-0.20667,0
nan,nan,nan,0.00026193,-0.00027116,-0.20667,0
nan,nan,nan,0.00034924,-0.00018386,-0.20667,0
nan,nan,nan,0.00043654,-9.6547e-05,-0.20667,0
nan,nan,nan,0.00052385,-9.2383e-06,-0.20667,0
0,0,0,0.00061116,7.8071e-05,-0.20667,0
0,0,0,0.00069847,0.00016538,-0.20667,0
0,0,0,0.00078578,0.00025269,-0.20667,0
0,0,0,0.00087309,0.00034,-0.20667,0
0,0,0,0.0009604,0.00042731,-0.20667,0
0,0,0,0.0010477,0.00051461,-0.20667,0
0,0,0,0.001135,0.00060192,-0.20667,0
0,0,0,0.0012223,0.00068923,-0.20667,0
0,0,0,0.0013096,0.00077654,-0.20667,0
0,0,0,0.0013969,0.00086385,-0.20667,0
0,0,0,0.0014843,0.00095116,-0.20667,0
0,0,0,0.0015716,0.0010385,-0.20667,0
0,0,0,0.0016589,0.0011258,-0.20667,0
0,0,0,0.0017462,0.0012131,-0.20667,0
0,0,0,0.0018335,0.0013004,-0.20667,0
0,0,0,0.0019208,0.0013877,-0.20667,0
0,0,0,0.0020081,0.001475,-0.20667,0
0,0,0,0.0020954,0.0015623,-0.20667,0
0,0,0,0.0021827,0.0016496,-0.20667,0
0,0,0,0.00227,0.0017369,-0.20667,0
0,0,0,0.0023573,0.0018242,-0.20667,0
0,0,0,0.0024446,0.0019116,-0.20667,0
0,0,0,0.002532,0.0019989,-0.20667,0
0,0,0,0.0026193,0.0020862,-0.20667,0
0,0,0,0.0027066,0.0021735,-0.20667,0
0,0,0,0.0027939,0.0022608,-0.20667,0
0,0,0,0.0028812,0.0023481,-0.20667,0
0,0,0,0.0029685,0.0024354,-0.20667,0
0,0,0,0.0030558,0.0025227,-0.20667,0
0,0,0,0.0031431,0.00261,-0.20667,0
0,0,0,0.0032304,0.0026973,-0.20667,0
0,0,0,0.0033177,0.0027846,-0.20667,0
0,0,0,0.003405,0.002872,-0.20667,0
0,0,0,0.0034924,0.0029593,-0.20667,0
0,0,0,0.0035797,0.0030466,-0.20667,0
0,0,0,0.003667,0.0031339,-0.20667,0
0,0,0,0.0037543,0.0032212,-0.20667,0
0,0,0,0.0038416,0.0033085,-0.20667,0
0,0,0,0.0039289,0.0033958,-0.20667,0
0,0,0,0.0040162,0.0034831,-0.20667,0
0,0,0,0.0041035,0.0035704,-0.20667,0
0,0,0,0.0041908,0.0036577,-0.20667,0
0,0,0,0.0042781,0.003745,-0.20667,0
0,0,0,0.0043654,0.0038324,-0.20667,0
0,0,0,0.0044528,0.0039197,-0.20667,0
0,0,0,0.0045401,0.004007,-0.20667,0
0,0,0,0.0046274,0.0040943,-0.20667,0
0,0,0,0.0047147,0.0041816,-0.20667,0
0,0,0,0.004802,0.0042689,-0.20667,0
0,0,0,0.0048893,0.0043562,-0.20667,0
0,0,0,0.0049766,0.0044435,-0.20667,0
0,0,0,0.0050639,0.0045308,-0.20667,0
0,0,0,0.0051512,0.0046181,-0.20667,0
0,0,0,0.0052385,0.0047054,-0.20667,0
0,0,0,0.0053258,0.0047927,-0.20667,0
0,0,0,0.0054131,0.0048801,-0.20667,0
0,0,0,0.0055005,0.0049674,-0.20667,0
0,0,0,0.0055878,0.0050547,-0.20667,0
0,0,0,0.0056751,0.005142,-0.20667,0
0,0,0,0.0057624,0.0052293,-0.20667,0
0,0,0,0.0058497,0.0053166,-0.20667,0
0,0,0,0.005937,0.0054039,-0.20667,0
0,0,0,0.0060243,0.0054912,-0.20667,0
0,0,0,0.0061116,0.0055785,-0.20667,0
0,0,0,0.0061989,0.0056658,-0.20667,0
0,0,0,0.0062862,0.0057531,-0.20667,0
0,0,0,0.0063735,0.0058405,-0.20667,0
0,0,0,0.0064609,0.0059278,-0.20667,0
0,0,0,0.0065482,0.0060151,-0.20667,0
0,0,0,0.0066355,0.0061024,-0.20667,0
0,0,0,0.0067228,0.0061897,-0.20667,0
0,0,0,0.0068101,0.006277,-0.20667,0
0,0,0,0.0068974,0.0063643,-0.20667,0
0,0,0,0.0069847,0.0064516,-0.20667,0
0,0,0,0.007072,0.0065389,-0.20667,0
0,0,0,0.0071593,0.0066262,-0.20667,0
0,0,0,0.0072466,0.0067135,-0.20667,0
0,0,0,0.0073339,0.0068009,-0.20667,0
0,0,0,0.0074213,0.0068882,-0.20667,0
0,0,0,0.0075086,0.0069755,-0.20667,0
0,0,0,0.0075959,0.0070628,-0.20667,0
0,0,0,0.0076832,0.0071501,-0.20667,0
0,0,0,0.0077705,0.0072374,-0.20667,0
0,0,0,0.0078578,0.0073247,-0.20667,0
0,0,0,0.0079451,0.007412,-0.20667,0
0,0,0,0.0080324,0.0074993,-0.20667,0
0,0,0,0.0081197,0.0075866,-0.20667,0
0,0,0,0.008207,0.0076739,-0.20667,0
0,0,0,0.0082943,0.0077613,-0.20667,0
0,0,0,0.0083817,0.0078486,-0.20667,0
0,0,0,0.008469,0.0079359,-0.20667,0
0,0,0,0.0085563,0.0080232,-0.20667,0
0,0,0,0.0086436,0.0081105,-0.20667,0
0,0,0,0.0087309,0.0081978,-0.20667,0
0,0,0,0.0088182,0.0082851,-0.20667,0
0,0,0,0.0089055,0.0083724,-0.20667,0
0,0,0,0.0089928,0.0084597,-0.20667,0
0,0,0,0.0090801,0.008547,-0.20667,0
0,0,0,0.0091674,0.0086343,-0.20667,0
0,0,0,0.0092547,0.0087216,-0.20667,0
0,0,0,0.009342,0.008809,-0.20667,0
0,0,0,0.0094294,0.0088963,-0.20667,0
0,0,0,0.0095167,0.0089836,-0.20667,0
0,0,0,0.009604,0.0090709,-0.20667,0
0,0,0,0.0096913,0.0091582,-0.20667,0
0,0,0,0.0097786,0.0092455,-0.20667,0
0,0,0,0.0098659,0.0093328,-0.20667,0
0,0,0,0.0099532,0.0094201,-0.20667,0
0,0,0,0.010041,0.0095074,-0.20667,0
0,0,0,0.010128,0.0095947,-0.20667,0
0,0,0,0.010215,0.009682,-0.20667,0
0,0,0,0.010302,0.0097694,-0.20667,0
0,0,0,0.01039,0.0098567,-0.20667,0
0,0,0,0.010477,0.009944,-0.20667,0
0,0,0,0.010564,0.010031,-0.20667,0
0,0,0,0.010652,0.010119,-0.20667,0
0,0,0,0.010739,0.010206,-0.20667,0
0,0,0,0.010826,0.010293,-0.20667,0
0,0,0,0.010914,0.010381,-0.20667,0
0,0,0,0.011001,0.010468,-0.20667,0
0,0,0,0.011088,0.010555,-0.20667,0
0,0,0,0.011176,0.010642,-0.20667,0
0,0,0,0.011263,0.01073,-0.20667,0
0,0,0,0.01135,0.010817,-0.20667,0
0,0,0,0.011437,0.010904,-0.20667,0
0,0,0,0.011525,0.010992,-0.20667,0
0,0,0,0.011612,0.011079,-0.20667,0
0,0,0,0.011699,0.011166,-0.20667,0
0,0,0,0.011787,0.011254,-0.20667,0
0,0,0,0.011874,0.011341,-0.20667,0
0,0,0,0.011961,0.011428,-0.20667,0
0,0,0,0.012049,0.011516,-0.20667,0
0,0,0,0.012136,0.011603,-0.20667,0
0,0,0,0.012223,0.01169,-0.20667,0
0,0,0,0.012311,0.011777,-0.20667,0
0,0,0,0.012398,0.011865,-0.20667,0
0,0,0,0.012485,0.011952,-0.20667,0
0,0,0,0.012572,0.012039,-0.20667,0
0,0,0,0.01266,0.012127,-0.20667,0
0,0,0,0.012747,0.012214,-0.20667,0
0,0,0,0.012834,0.012301,-0.20667,0
0,0,0,0.012922,0.012389,-0.20667,0
0,0,0,0.013009,0.012476,-0.20667,0
0,0,0,0.013096,0.012563,-0.20667,0
0,0,0,0.013184,0.012651,-0.20667,0
0,0,0,0.013271,0.012738,-0.20667,0
0,0,0,0.013358,0.012825,-0.20667,0
0,0,0,0.013446,0.012912,-0.20667,0
0,0,0,0.013533,0.013,-0.20667,0
0,0,0,0.01362,0.013087,-0.20667,0
0,0,0,0.013707,0.013174,-0.20667,0
0,0,0,0.013795,0.013262,-0.20667,0
0,0,0,0.013882,0.013349,-0.20667,0
0,0,0,0.013969,0.013436,-0.20667,0
0,0,0,0.014057,0.013524,-0.20667,0
0,0,0,0.014144,0.013611,-0.20667,0
0,0,0,0.014231,0.013698,-0.20667,0
