"E:0","E:1","E:2","arc_length","Points:0","Points:1","Points:2"
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,4.36759e-04,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,8.73088e-05,5.24068e-04,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,1.74618e-04,6.11377e-04,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,2.61927e-04,6.98686e-04,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,3.49235e-04,7.85995e-04,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,4.36544e-04,8.73304e-04,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,5.23853e-04,9.60612e-04,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,6.11162e-04,1.04792e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,6.98471e-04,1.13523e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,7.85780e-04,1.22254e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,8.73089e-04,1.30985e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,9.60398e-04,1.39716e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,1.04771e-03,1.48447e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,1.13502e-03,1.57177e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,1.22232e-03,1.65908e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,1.30963e-03,1.74639e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,1.39694e-03,1.83370e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,1.48425e-03,1.92101e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,1.57156e-03,2.00832e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,1.65887e-03,2.09563e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,1.74618e-03,2.18294e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,1.83349e-03,2.27025e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,1.92080e-03,2.35755e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,2.00810e-03,2.44486e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,2.09541e-03,2.53217e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,2.18272e-03,2.61948e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,2.27003e-03,2.70679e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,2.35734e-03,2.79410e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,2.44465e-03,2.88141e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,2.53196e-03,2.96872e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,2.61927e-03,3.05603e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,2.70657e-03,3.14333e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,2.79388e-03,3.23064e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,2.88119e-03,3.31795e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,2.96850e-03,3.40526e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,3.05581e-03,3.49257e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,3.14312e-03,3.57988e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,3.23043e-03,3.66719e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,3.31774e-03,3.75450e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,3.40505e-03,3.84181e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,3.49235e-03,3.92911e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,3.57966e-03,4.01642e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,3.66697e-03,4.10373e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,3.75428e-03,4.19104e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,3.84159e-03,4.27835e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,3.92890e-03,4.36566e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,4.01621e-03,4.45297e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,4.10352e-03,4.54028e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,4.19083e-03,4.62758e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,4.27813e-03,4.71489e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,4.36544e-03,4.80220e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,4.45275e-03,4.88951e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,4.54006e-03,4.97682e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,4.62737e-03,5.06413e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,4.71468e-03,5.15144e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,4.80199e-03,5.23875e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,4.88930e-03,5.32606e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,4.97661e-03,5.41336e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,5.06391e-03,5.50067e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,5.15122e-03,5.58798e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,5.23853e-03,5.67529e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,5.32584e-03,5.76260e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,5.41315e-03,5.84991e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,5.50046e-03,5.93722e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,5.58777e-03,6.02453e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,5.67508e-03,6.11184e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,5.76239e-03,6.19914e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,5.84969e-03,6.28645e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,5.93700e-03,6.37376e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,6.02431e-03,6.46107e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,6.11162e-03,6.54838e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,6.19893e-03,6.63569e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,6.28624e-03,6.72300e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,6.37355e-03,6.81031e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,6.46086e-03,6.89762e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,6.54817e-03,6.98492e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,6.63547e-03,7.07223e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,6.72278e-03,7.15954e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,6.81009e-03,7.24685e-03,-2.06673e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,6.89740e-03,7.33416e-03,-2.06673e-01,0.00000e+00
