"E:0","E:1","E:2","arc_length","Points:0","Points:1","Points:2"
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.36019e-03,-3.19796e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,9.05331e-05,1.45072e-03,-3.19796e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,1.81066e-04,1.54125e-03,-3.19796e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,2.71599e-04,1.63179e-03,-3.19796e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,3.62132e-04,1.72232e-03,-3.19796e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,4.52665e-04,1.81285e-03,-3.19796e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,5.43199e-04,1.90339e-03,-3.19796e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,6.33732e-04,1.99392e-03,-3.19796e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,7.24265e-04,2.08445e-03,-3.19796e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,8.14798e-04,2.17498e-03,-3.19796e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,9.05331e-04,2.26552e-03,-3.19796e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,9.95864e-04,2.35605e-03,-3.19796e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,1.08640e-03,2.44658e-03,-3.19796e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,1.17693e-03,2.53712e-03,-3.19796e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,1.26746e-03,2.62765e-03,-3.19796e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,1.35800e-03,2.71818e-03,-3.19796e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,1.44853e-03,2.80872e-03,-3.19796e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,1.53906e-03,2.89925e-03,-3.19796e-01,0.00000e+00
