"E:0","E:1","E:2","arc_length","Points:0","Points:1","Points:2"
0,0,0,0,0.00039034,-0.32949,0
0,0,0,9.0533e-05,0.00048087,-0.32949,0
0,0,0,0.00018107,0.0005714,-0.32949,0
0,0,0,0.0002716,0.00066194,-0.32949,0
0,0,0,0.00036213,0.00075247,-0.32949,0
0,0,0,0.00045267,0.000843,-0.32949,0
0,0,0,0.0005432,0.00093353,-0.32949,0
0,0,0,0.00063373,0.0010241,-0.32949,0
0,0,0,0.00072426,0.0011146,-0.32949,0
0,0,0,0.0008148,0.0012051,-0.32949,0
0,0,0,0.00090533,0.0012957,-0.32949,0
0,0,0,0.00099586,0.0013862,-0.32949,0
0,0,0,0.0010864,0.0014767,-0.32949,0
0,0,0,0.0011769,0.0015673,-0.32949,0
0,0,0,0.0012675,0.0016578,-0.32949,0
0,0,0,0.001358,0.0017483,-0.32949,0
0,0,0,0.0014485,0.0018389,-0.32949,0
0,0,0,0.0015391,0.0019294,-0.32949,0
0,0,0,0.0016296,0.0020199,-0.32949,0
0,0,0,0.0017201,0.0021105,-0.32949,0
0,0,0,0.0018107,0.002201,-0.32949,0
0,0,0,0.0019012,0.0022915,-0.32949,0
0,0,0,0.0019917,0.0023821,-0.32949,0
0,0,0,0.0020823,0.0024726,-0.32949,0
0,0,0,0.0021728,0.0025631,-0.32949,0
0,0,0,0.0022633,0.0026537,-0.32949,0
0,0,0,0.0023539,0.0027442,-0.32949,0
0,0,0,0.0024444,0.0028347,-0.32949,0
0,0,0,0.0025349,0.0029253,-0.32949,0
0,0,0,0.0026255,0.0030158,-0.32949,0
0,0,0,0.002716,0.0031063,-0.32949,0
0,0,0,0.0028065,0.0031969,-0.32949,0
0,0,0,0.0028971,0.0032874,-0.32949,0
0,0,0,0.0029876,0.0033779,-0.32949,0
0,0,0,0.0030781,0.0034685,-0.32949,0
0,0,0,0.0031687,0.003559,-0.32949,0
0,0,0,0.0032592,0.0036495,-0.32949,0
0,0,0,0.0033497,0.0037401,-0.32949,0
0,0,0,0.0034403,0.0038306,-0.32949,0
0,0,0,0.0035308,0.0039211,-0.32949,0
0,0,0,0.0036213,0.0040117,-0.32949,0
0,0,0,0.0037119,0.0041022,-0.32949,0
0,0,0,0.0038024,0.0041927,-0.32949,0
0,0,0,0.0038929,0.0042833,-0.32949,0
0,0,0,0.0039835,0.0043738,-0.32949,0
0,0,0,0.004074,0.0044643,-0.32949,0
0,0,0,0.0041645,0.0045549,-0.32949,0
0,0,0,0.0042551,0.0046454,-0.32949,0
0,0,0,0.0043456,0.0047359,-0.32949,0
0,0,0,0.0044361,0.0048265,-0.32949,0
0,0,0,0.0045267,0.004917,-0.32949,0
0,0,0,0.0046172,0.0050075,-0.32949,0
0,0,0,0.0047077,0.0050981,-0.32949,0
0,0,0,0.0047983,0.0051886,-0.32949,0
0,0,0,0.0048888,0.0052791,-0.32949,0
0,0,0,0.0049793,0.0053697,-0.32949,0
0,0,0,0.0050699,0.0054602,-0.32949,0
0,0,0,0.0051604,0.0055507,-0.32949,0
0,0,0,0.0052509,0.0056413,-0.32949,0
0,0,0,0.0053415,0.0057318,-0.32949,0
0,0,0,0.005432,0.0058223,-0.32949,0
0,0,0,0.0055225,0.0059129,-0.32949,0
0,0,0,0.0056131,0.0060034,-0.32949,0
0,0,0,0.0057036,0.0060939,-0.32949,0
0,0,0,0.0057941,0.0061845,-0.32949,0
0,0,0,0.0058847,0.006275,-0.32949,0
0,0,0,0.0059752,0.0063655,-0.32949,0
0,0,0,0.0060657,0.0064561,-0.32949,0
0,0,0,0.0061562,0.0065466,-0.32949,0
0,0,0,0.0062468,0.0066371,-0.32949,0
0,0,0,0.0063373,0.0067277,-0.32949,0
0,0,0,0.0064278,0.0068182,-0.32949,0
0,0,0,0.0065184,0.0069087,-0.32949,0
0,0,0,0.0066089,0.0069993,-0.32949,0
0,0,0,0.0066994,0.0070898,-0.32949,0
0,0,0,0.00679,0.0071803,-0.32949,0
0,0,0,0.0068805,0.0072709,-0.32949,0
0,0,0,0.006971,0.0073614,-0.32949,0
0,0,0,0.0070616,0.0074519,-0.32949,0
0,0,0,0.0071521,0.0075424,-0.32949,0
0,0,0,0.0072426,0.007633,-0.32949,0
0,0,0,0.0073332,0.0077235,-0.32949,0
0,0,0,0.0074237,0.007814,-0.32949,0
0,0,0,0.0075142,0.0079046,-0.32949,0
0,0,0,0.0076048,0.0079951,-0.32949,0
0,0,0,0.0076953,0.0080856,-0.32949,0
0,0,0,0.0077858,0.0081762,-0.32949,0
0,0,0,0.0078764,0.0082667,-0.32949,0
0,0,0,0.0079669,0.0083572,-0.32949,0
0,0,0,0.0080574,0.0084478,-0.32949,0
0,0,0,0.008148,0.0085383,-0.32949,0
0,0,0,0.0082385,0.0086288,-0.32949,0
0,0,0,0.008329,0.0087194,-0.32949,0
0,0,0,0.0084196,0.0088099,-0.32949,0
0,0,0,0.0085101,0.0089004,-0.32949,0
0,0,0,0.0086006,0.008991,-0.32949,0
0,0,0,0.0086912,0.0090815,-0.32949,0
0,0,0,0.0087817,0.009172,-0.32949,0
0,0,0,0.0088722,0.0092626,-0.32949,0
0,0,0,0.0089628,0.0093531,-0.32949,0
0,0,0,0.0090533,0.0094436,-0.32949,0
0,0,0,0.0091438,0.0095342,-0.32949,0
0,0,0,0.0092344,0.0096247,-0.32949,0
0,0,0,0.0093249,0.0097152,-0.32949,0
0,0,0,0.0094154,0.0098058,-0.32949,0
0,0,0,0.009506,0.0098963,-0.32949,0
0,0,0,0.0095965,0.0099868,-0.32949,0
0,0,0,0.009687,0.010077,-0.32949,0
0,0,0,0.0097776,0.010168,-0.32949,0
0,0,0,0.0098681,0.010258,-0.32949,0
0,0,0,0.0099586,0.010349,-0.32949,0
0,0,0,0.010049,0.01044,-0.32949,0
0,0,0,0.01014,0.01053,-0.32949,0
0,0,0,0.01023,0.010621,-0.32949,0
0,0,0,0.010321,0.010711,-0.32949,0
0,0,0,0.010411,0.010802,-0.32949,0
0,0,0,0.010502,0.010892,-0.32949,0
0,0,0,0.010592,0.010983,-0.32949,0
0,0,0,0.010683,0.011073,-0.32949,0
0,0,0,0.010773,0.011164,-0.32949,0
0,0,0,0.010864,0.011254,-0.32949,0
0,0,0,0.010955,0.011345,-0.32949,0
0,0,0,0.011045,0.011435,-0.32949,0
0,0,0,0.011136,0.011526,-0.32949,0
