"T","arc_length","Points:0","Points:1","Points:2"
nan,0.00000e+00,-1.10842e-03,-2.88086e-01,0.00000e+00
nan,8.73088e-05,-1.02111e-03,-2.88086e-01,0.00000e+00
nan,1.74618e-04,-9.33800e-04,-2.88086e-01,0.00000e+00
nan,2.61927e-04,-8.46491e-04,-2.88086e-01,0.00000e+00
nan,3.49235e-04,-7.59182e-04,-2.88086e-01,0.00000e+00
nan,4.36544e-04,-6.71873e-04,-2.88086e-01,0.00000e+00
nan,5.23853e-04,-5.84564e-04,-2.88086e-01,0.00000e+00
nan,6.11162e-04,-4.97255e-04,-2.88086e-01,0.00000e+00
nan,6.98471e-04,-4.09946e-04,-2.88086e-01,0.00000e+00
nan,7.85780e-04,-3.22638e-04,-2.88086e-01,0.00000e+00
nan,8.73089e-04,-2.35329e-04,-2.88086e-01,0.00000e+00
nan,9.60398e-04,-1.48020e-04,-2.88086e-01,0.00000e+00
nan,1.04771e-03,-6.07110e-05,-2.88086e-01,0.00000e+00
3.29601e+02,1.13502e-03,2.65979e-05,-2.88086e-01,0.00000e+00
3.29601e+02,1.22232e-03,1.13907e-04,-2.88086e-01,0.00000e+00
3.29601e+02,1.30963e-03,2.01216e-04,-2.88086e-01,0.00000e+00
3.29601e+02,1.39694e-03,2.88525e-04,-2.88086e-01,0.00000e+00
3.29601e+02,1.48425e-03,3.75833e-04,-2.88086e-01,0.00000e+00
3.29601e+02,1.57156e-03,4.63142e-04,-2.88086e-01,0.00000e+00
3.29601e+02,1.65887e-03,5.50451e-04,-2.88086e-01,0.00000e+00
3.29601e+02,1.74618e-03,6.37760e-04,-2.88086e-01,0.00000e+00
3.29601e+02,1.83349e-03,7.25069e-04,-2.88086e-01,0.00000e+00
3.29601e+02,1.92080e-03,8.12378e-04,-2.88086e-01,0.00000e+00
3.29601e+02,2.00810e-03,8.99687e-04,-2.88086e-01,0.00000e+00
3.29601e+02,2.09541e-03,9.86996e-04,-2.88086e-01,0.00000e+00
3.29601e+02,2.18272e-03,1.07430e-03,-2.88086e-01,0.00000e+00
3.29601e+02,2.27003e-03,1.16161e-03,-2.88086e-01,0.00000e+00
3.29601e+02,2.35734e-03,1.24892e-03,-2.88086e-01,0.00000e+00
3.29601e+02,2.44465e-03,1.33623e-03,-2.88086e-01,0.00000e+00
3.29601e+02,2.53196e-03,1.42354e-03,-2.88086e-01,0.00000e+00
3.29601e+02,2.61927e-03,1.51085e-03,-2.88086e-01,0.00000e+00
3.29601e+02,2.70657e-03,1.59816e-03,-2.88086e-01,0.00000e+00
3.29601e+02,2.79388e-03,1.68547e-03,-2.88086e-01,0.00000e+00
3.29601e+02,2.88119e-03,1.77278e-03,-2.88086e-01,0.00000e+00
3.29601e+02,2.96850e-03,1.86008e-03,-2.88086e-01,0.00000e+00
3.29601e+02,3.05581e-03,1.94739e-03,-2.88086e-01,0.00000e+00
3.29601e+02,3.14312e-03,2.03470e-03,-2.88086e-01,0.00000e+00
3.29601e+02,3.23043e-03,2.12201e-03,-2.88086e-01,0.00000e+00
3.29601e+02,3.31774e-03,2.20932e-03,-2.88086e-01,0.00000e+00
3.29601e+02,3.40505e-03,2.29663e-03,-2.88086e-01,0.00000e+00
3.29601e+02,3.49235e-03,2.38394e-03,-2.88086e-01,0.00000e+00
3.29601e+02,3.57966e-03,2.47125e-03,-2.88086e-01,0.00000e+00
3.29601e+02,3.66697e-03,2.55856e-03,-2.88086e-01,0.00000e+00
3.29601e+02,3.75428e-03,2.64586e-03,-2.88086e-01,0.00000e+00
